City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,hermanus,-34.4187,19.2345,16.46,84,100,7.03,ZA,2023-11-01
79,east london,-33.0153,27.9116,16.97,82,100,4.8,ZA,2023-11-01
80,port mathurin,-19.6833,63.4167,24.75,74,13,7.88,MU,2023-11-01
81,olonkinbyen,70.9221,-8.7187,0.2,86,100,2.52,SJ,2023-11-01
82,verkhnevilyuysk,63.4453,120.3167,-15.29,94,100,3.96,RU,2023-11-01
83,wailua homesteads,22.0669,-159.378,28.24,72,0,3.6,US,2023-11-01
84,yuzhno-kurilsk,44.0306,145.8556,10.76,91,100,10.47,RU,2023-11-01
85,cabo san lucas,22.8909,-109.9124,30.66,61,85,1.86,MX,2023-11-01
86,thunder bay,48.4001,-89.3168,2.99,30,75,4.12,CA,2023-11-01
87,iqaluit,63.7506,-68.5145,-5.15,85,100,3.09,CA,2023-11-01
88,strelka,58.0728,93.0344,-9.43,52,71,4.12,RU,2023-11-01
89,dapa,9.7594,126.0531,28.07,80,13,2.27,PH,2023-11-01
90,sabang,5.8933,95.3214,25.94,82,100,2.81,ID,2023-11-01
91,tolanaro,-25.0319,46.9987,24.04,88,40,9.26,MG,2023-11-01
92,sidi khaled,34.387,4.9879,21.65,49,56,1.88,DZ,2023-11-01
93,kavaratti,10.5669,72.642,27.97,74,67,2.81,IN,2023-11-01
94,palera,25.0167,79.2333,20.33,55,0,1.0,IN,2023-11-01
95,armstrong,-32.7822,-61.6022,11.62,91,100,6.98,AR,2023-11-01
96,tamanrasset,22.785,5.5228,17.95,17,0,1.03,DZ,2023-11-01
97,nantucket,41.2835,-70.0995,7.3,68,100,7.72,US,2023-11-01
98,tralee,52.2704,-9.7026,7.82,81,100,3.74,IE,2023-11-01
99,nar'yan-mar,67.6713,53.087,-10.5,97,29,2.68,RU,2023-11-01
100,vadso,70.0744,29.7487,-0.51,74,75,4.63,NO,2023-11-01
101,uusikaupunki,60.8004,21.4084,3.1,73,100,10.04,FI,2023-11-01
102,jeddah,21.5169,39.2192,28.92,48,20,0.0,SA,2023-11-01
103,yaounde,3.8667,11.5167,22.74,100,75,1.54,CM,2023-11-01
104,tazovsky,67.4667,78.7,-13.51,94,98,3.81,RU,2023-11-01
105,west island,-12.1568,96.8225,25.99,83,100,7.2,CC,2023-11-01
106,tionk essil,12.7856,-16.5217,27.98,81,24,3.21,SN,2023-11-01
107,sisimiut,66.9395,-53.6735,-1.67,72,77,2.73,GL,2023-11-01
108,bethel,41.3712,-73.414,5.56,80,75,0.0,US,2023-11-01
109,aasiaat,68.7098,-52.8699,-0.62,66,85,6.67,GL,2023-11-01
110,constantia,44.1833,28.65,9.38,74,36,3.86,RO,2023-11-01
111,aykhal,66.0,111.5,-24.11,100,98,3.19,RU,2023-11-01
112,qaqortoq,60.7167,-46.0333,0.4,100,100,2.29,GL,2023-11-01
113,thompson,55.7435,-97.8558,-5.91,63,75,6.17,CA,2023-11-01
114,stanley,54.868,-1.6985,5.03,92,0,1.03,GB,2023-11-01
115,panshi,42.9422,126.0561,3.71,90,88,2.28,CN,2023-11-01
116,invercargill,-46.4,168.35,13.34,83,99,1.79,NZ,2023-11-01
117,minas de marcona,-15.2119,-75.1103,16.36,70,15,6.14,PE,2023-11-01
118,palikir - national government center,6.9248,158.1611,30.47,74,75,3.6,FM,2023-11-01
119,caltagirone,37.2368,14.5126,16.29,89,60,2.1,IT,2023-11-01
120,cabanillas del campo,40.6338,-3.2294,14.78,91,100,12.57,ES,2023-11-01
121,cockburn town,21.4612,-71.1419,28.98,74,40,3.6,TC,2023-11-01
122,alice springs,-23.7,133.8833,27.75,30,89,0.0,AU,2023-11-01
123,smithers,54.7804,-127.1743,3.18,70,75,0.0,CA,2023-11-01
124,warman,52.3168,-106.5679,-0.05,69,40,1.54,CA,2023-11-01
125,enoch,37.7733,-113.0244,19.14,9,0,0.0,US,2023-11-01
126,dudinka,69.4058,86.1778,-14.1,97,100,0.89,RU,2023-11-01
127,utrik,11.2278,169.8474,27.66,79,32,6.85,MH,2023-11-01
128,ha'il,27.5219,41.6907,17.01,100,20,2.06,SA,2023-11-01
129,port saint john's,-31.6229,29.5448,16.28,85,100,4.18,ZA,2023-11-01
130,saipan,15.1355,145.701,30.39,70,20,6.69,MP,2023-11-01
131,longyearbyen,78.2186,15.6401,-13.09,72,20,6.17,SJ,2023-11-01
132,belaya glina,46.07,40.86,16.09,42,100,4.05,RU,2023-11-01
133,kruisfontein,-34.0033,24.7314,15.33,81,100,3.37,ZA,2023-11-01
134,acapulco de juarez,16.8634,-99.8901,28.41,79,75,3.16,MX,2023-11-01
135,kapuskasing,49.4169,-82.4331,0.05,51,75,3.6,CA,2023-11-01
136,pimentel,-6.8367,-79.9342,20.16,77,0,9.26,PE,2023-11-01
137,guerrero negro,27.9769,-114.0611,27.12,31,100,4.79,MX,2023-11-01
138,diplo,24.4667,69.584,26.81,37,2,3.05,PK,2023-11-01
139,tiksi,71.6872,128.8694,-9.04,95,100,6.77,RU,2023-11-01
140,hami,42.8,93.45,5.84,43,2,2.48,CN,2023-11-01
141,enewetak,11.3474,162.3373,28.5,72,100,6.66,MH,2023-11-01
142,ilulissat,69.2167,-51.1,5.01,38,96,11.32,GL,2023-11-01
143,santa ana,33.7456,-117.8678,32.58,15,20,5.14,US,2023-11-01
144,tir pul,34.5943,61.269,10.31,28,4,6.26,AF,2023-11-01
145,al qadarif,14.0349,35.3834,27.64,44,29,2.0,SD,2023-11-01
146,saint-philippe,-21.3585,55.7679,24.77,80,100,4.7,RE,2023-11-01
147,genhe,50.7833,121.5167,-4.77,91,100,2.78,CN,2023-11-01
148,puerto baquerizo moreno,-0.9,-89.6,27.55,69,40,7.2,EC,2023-11-01
149,bousse,12.6606,-1.8922,29.62,17,97,2.91,BF,2023-11-01
150,morigaon,26.3796,92.3415,19.53,90,0,1.48,IN,2023-11-01
151,haiku-pauwela,20.9219,-156.3051,29.01,58,40,6.17,US,2023-11-01
152,port augusta,-32.5,137.7667,21.22,26,98,2.88,AU,2023-11-01
153,avarua,-21.2078,-159.775,25.03,65,40,8.23,CK,2023-11-01
154,paramonga,-10.6667,-77.8333,19.78,82,89,5.38,PE,2023-11-01
155,mersch,49.7489,6.1061,10.68,84,75,4.63,LU,2023-11-01
156,nagqu,31.5,92.0,-3.59,89,100,2.52,CN,2023-11-01
157,smara,26.7384,-11.6719,22.01,65,0,4.22,EH,2023-11-01
158,lebu,-37.6167,-73.65,10.87,80,42,3.54,CL,2023-11-01
159,talara,-4.5772,-81.2719,21.42,83,0,6.17,PE,2023-11-01
160,lautoka,-17.6167,177.4667,30.92,62,40,6.17,FJ,2023-11-01
161,calatayud,41.3535,-1.6432,15.9,75,93,16.57,ES,2023-11-01
162,amalapuram,16.5833,82.0167,24.34,91,87,2.24,IN,2023-11-01
163,lerwick,60.1545,-1.1494,8.0,95,100,17.15,GB,2023-11-01
164,buitenpost,53.2517,6.1448,11.1,90,82,6.75,NL,2023-11-01
165,torghay,49.6339,63.4981,7.45,92,38,4.53,KZ,2023-11-01
166,laojunmiao,39.8333,97.7333,3.85,63,100,2.1,CN,2023-11-01
167,oranjemund,-28.55,16.4333,19.53,65,63,3.03,NA,2023-11-01
168,riyadh,24.6877,46.7219,23.08,62,48,3.59,SA,2023-11-01
169,mount pearl,47.5166,-52.7813,4.98,94,100,6.69,CA,2023-11-01
170,xinpu,34.5997,119.1594,16.4,58,0,2.99,CN,2023-11-01
171,namibe,-15.1961,12.1522,18.93,87,12,2.02,AO,2023-11-01
172,chernyshevskiy,63.0128,112.4714,-25.63,98,89,1.44,RU,2023-11-01
173,maputo,-25.9653,32.5892,16.82,88,20,3.6,MZ,2023-11-01
174,morant bay,17.8815,-76.4093,27.79,84,100,3.24,JM,2023-11-01
175,udachny,66.4167,112.4,-23.64,76,85,2.6,RU,2023-11-01
176,lucapa,-8.4192,20.7447,18.99,98,95,0.69,AO,2023-11-01
177,bykovo,55.6361,38.0803,12.23,92,75,2.0,RU,2023-11-01
178,petrinja,45.4375,16.29,11.18,73,100,1.75,HR,2023-11-01
179,tursunzoda,38.5144,68.2333,13.24,37,0,1.51,TJ,2023-11-01
180,kimbe,-5.5502,150.1429,29.34,71,77,0.52,PG,2023-11-01
181,chibougamau,49.9168,-74.3659,-6.21,79,75,3.6,CA,2023-11-01
182,susuman,62.7833,148.1667,-17.23,98,100,0.89,RU,2023-11-01
183,whistler,50.1164,-122.9695,9.28,53,100,0.0,CA,2023-11-01
184,marka,1.7159,44.7717,26.64,84,90,3.96,SO,2023-11-01
185,bilibino,68.0546,166.4372,-17.71,98,85,1.86,RU,2023-11-01
186,cestos city,5.46,-9.5828,26.3,84,39,2.89,LR,2023-11-01
187,arkhangel'sk,64.5401,40.5433,-4.37,83,100,5.49,RU,2023-11-01
188,tindouf,27.6711,-8.1474,24.25,25,0,2.06,DZ,2023-11-01
189,acarau,-2.8856,-40.12,26.8,79,50,6.23,BR,2023-11-01
190,thetford-mines,46.0937,-71.3054,-1.94,95,47,1.03,CA,2023-11-01
191,magadi,12.9667,77.2333,22.09,85,88,2.71,IN,2023-11-01
192,laayoune,27.1622,-13.2032,22.19,100,0,5.14,EH,2023-11-01
193,jamestown,42.097,-79.2353,2.77,93,100,2.06,US,2023-11-01
194,petropavlovsk-kamchatsky,53.0452,158.6483,1.36,63,100,3.0,RU,2023-11-01
195,wynyard,-41.0,145.7167,17.21,43,26,1.84,AU,2023-11-01
196,sulingen,52.6833,8.8,13.03,78,99,6.56,DE,2023-11-01
197,knivsta,59.7256,17.7875,-0.9,86,0,2.57,SE,2023-11-01
198,fortaleza,-3.7227,-38.5247,28.37,80,0,3.09,BR,2023-11-01
199,happy valley-goose bay,53.3168,-60.3315,-1.83,46,20,3.6,CA,2023-11-01
200,kapa'a,22.0752,-159.319,28.99,71,0,3.6,US,2023-11-01
201,aral,40.5156,81.2636,10.86,26,25,3.35,CN,2023-11-01
202,georgetown,5.4112,100.3354,24.97,95,20,1.03,MY,2023-11-01
203,dakhla,23.6848,-15.958,21.08,89,0,8.55,EH,2023-11-01
204,collepasso,40.0715,18.164,19.48,78,100,4.83,IT,2023-11-01
205,nova sintra,14.8667,-24.7167,24.2,79,61,5.81,CV,2023-11-01
206,salinopolis,-0.6136,-47.3561,27.26,84,9,5.44,BR,2023-11-01
207,vanimo,-2.6741,141.3028,27.53,78,99,1.8,PG,2023-11-01
208,san patricio,28.017,-97.5169,18.8,32,1,2.58,US,2023-11-01
209,kinna,57.5073,12.6946,4.69,93,100,5.22,SE,2023-11-01
210,camana,-16.6228,-72.7111,19.98,77,46,3.44,PE,2023-11-01
211,lihue,21.9789,-159.3672,28.58,71,0,3.6,US,2023-11-01
212,port alfred,-33.5906,26.891,16.77,89,100,0.45,ZA,2023-11-01
213,isafjordur,66.0755,-23.124,2.12,76,92,5.05,IS,2023-11-01
214,labrador city,52.9463,-66.9114,-5.05,58,100,4.63,CA,2023-11-01
215,gozyeri,40.866,32.5417,10.24,69,4,1.5,TR,2023-11-01
216,gostyn,51.8825,17.0123,10.6,77,98,3.99,PL,2023-11-01
217,ust'-kut,56.7938,105.7672,-14.76,72,6,0.89,RU,2023-11-01
218,bamboo flat,11.7,92.7167,27.05,83,40,1.03,IN,2023-11-01
219,angra do heroismo,38.65,-27.2167,19.51,87,75,2.68,PT,2023-11-01
220,molina,-35.1167,-71.2833,12.85,67,75,2.06,CL,2023-11-01
221,old town,50.087,14.4202,10.71,84,0,2.24,CZ,2023-11-01
222,nyurba,63.2842,118.3319,-15.24,95,100,4.43,RU,2023-11-01
223,mityana,0.4175,32.0228,17.69,99,95,1.04,UG,2023-11-01
224,mount gambier,-37.8333,140.7667,14.25,61,25,3.04,AU,2023-11-01
225,sarangani,5.4033,125.4636,28.45,75,34,4.75,PH,2023-11-01
226,rio preto da eva,-2.6994,-59.6997,32.47,34,95,0.3,BR,2023-11-01
227,beaufort west,-32.3567,22.583,19.31,38,96,3.78,ZA,2023-11-01
228,mitsamiouli,-11.3847,43.2844,26.4,77,10,4.2,KM,2023-11-01
229,saldanha,-33.0117,17.9442,23.03,54,100,5.07,ZA,2023-11-01
230,hadibu,12.65,54.0333,25.82,75,99,4.44,YE,2023-11-01
231,kristiansund,63.1115,7.732,1.36,51,75,4.12,NO,2023-11-01
232,gbadolite,4.2833,21.0167,21.77,98,96,1.04,CD,2023-11-01
233,leer,53.2316,7.461,11.64,89,80,6.93,DE,2023-11-01
234,taitung city,22.7583,121.1444,21.15,94,75,2.57,TW,2023-11-01
235,savelugu,9.6244,-0.8253,27.94,57,35,2.7,GH,2023-11-01
236,mount isa,-20.7333,139.5,31.87,14,8,4.12,AU,2023-11-01
237,bhamo,24.2667,97.2333,20.51,78,100,0.5,MM,2023-11-01
238,nezhinka,51.7676,55.3694,3.09,100,20,2.0,RU,2023-11-01
239,san jose del guaviare,2.5729,-72.6459,27.31,79,95,1.25,CO,2023-11-01
240,hithadhoo,-0.6,73.0833,27.05,81,99,5.95,MV,2023-11-01
241,port blair,11.6667,92.75,27.02,83,40,1.03,IN,2023-11-01
242,ancud,-41.8697,-73.8203,11.48,72,49,2.9,CL,2023-11-01
243,khash,28.2211,61.2158,15.75,39,1,1.3,IR,2023-11-01
244,hammerfest,70.6634,23.6821,0.25,74,75,2.57,NO,2023-11-01
245,glace bay,46.1969,-59.957,4.88,93,100,2.57,CA,2023-11-01
246,vorgashor,67.5833,63.95,-16.2,99,94,2.12,RU,2023-11-01
247,berdigestyakh,62.0989,126.6992,-17.74,94,100,3.43,RU,2023-11-01
248,castillos,-34.1667,-53.8333,13.95,69,100,5.7,UY,2023-11-01
249,north bend,43.4065,-124.2243,16.71,77,100,1.54,US,2023-11-01
250,oriximina,-1.7656,-55.8661,30.6,40,72,1.54,BR,2023-11-01
251,turan,16.0678,108.2208,24.99,94,75,3.09,VN,2023-11-01
252,goundam,16.4145,-3.6708,30.11,10,94,4.33,ML,2023-11-01
253,malanville,11.8685,3.3899,27.69,19,76,1.34,BJ,2023-11-01
254,horta,38.5333,-28.6333,18.9,85,73,6.71,PT,2023-11-01
255,wingham,43.8879,-81.3114,4.04,80,84,1.49,CA,2023-11-01
256,ballina,-28.8667,153.5667,20.99,56,92,3.29,AU,2023-11-01
257,nabire,-3.3667,135.4833,24.34,93,100,0.93,ID,2023-11-01
258,buchanan,5.8808,-10.0467,25.61,87,42,1.29,LR,2023-11-01
259,formosa do rio preto,-11.0483,-45.1931,30.1,36,98,1.15,BR,2023-11-01
260,kathmandu,27.7167,85.3167,13.28,81,20,1.54,NP,2023-11-01
261,el granada,37.5027,-122.4694,26.63,42,75,3.09,US,2023-11-01
262,broome,42.2506,-75.833,1.48,85,100,3.09,US,2023-11-01
263,eureka,40.8021,-124.1637,21.22,55,94,0.89,US,2023-11-01
264,merizo village,13.2658,144.6691,30.32,81,48,6.81,GU,2023-11-01
265,megion,61.0296,76.1136,-10.99,95,100,1.85,RU,2023-11-01
266,vypasne,45.8756,34.1773,12.87,88,10,3.22,UA,2023-11-01
267,el galpon,-25.3807,-64.6526,12.91,94,100,1.94,AR,2023-11-01
268,lang son,21.8333,106.7333,18.22,90,17,0.63,VN,2023-11-01
269,kodinsk,58.6881,99.1844,-11.98,74,6,1.19,RU,2023-11-01
270,daru,-9.0763,143.2092,27.15,76,100,3.85,PG,2023-11-01
271,ilhabela,-23.7781,-45.3581,21.26,88,99,1.56,BR,2023-11-01
272,paphos,34.7667,32.4167,19.88,83,0,2.06,CY,2023-11-01
273,atafu village,-8.5421,-172.5159,29.03,69,91,3.85,TK,2023-11-01
274,badger,64.8,-147.5333,1.01,89,40,0.0,US,2023-11-01
275,harij,23.7,71.9,24.91,40,0,3.28,IN,2023-11-01
276,ratnagiri,16.9833,73.3,24.32,50,71,3.07,IN,2023-11-01
277,deniliquin,-35.5333,144.9667,17.3,46,17,2.71,AU,2023-11-01
278,kone,-21.0595,164.8658,27.0,45,13,0.38,NC,2023-11-01
279,lethem,3.3803,-59.7968,30.33,52,66,2.82,GY,2023-11-01
280,dzilam gonzalez,21.2833,-88.9333,24.49,79,83,5.76,MX,2023-11-01
281,jinchang,38.4953,102.1739,7.6,55,78,1.34,CN,2023-11-01
282,naze,28.3667,129.4833,21.91,55,20,4.67,JP,2023-11-01
283,dryden,49.7833,-92.7503,-1.84,80,100,4.63,CA,2023-11-01
284,bunia,1.5667,30.25,17.23,98,100,0.8,CD,2023-11-01
285,duki,30.1541,68.5728,18.45,37,34,2.19,PK,2023-11-01
286,puerto princesa,9.7392,118.7353,25.99,94,20,2.06,PH,2023-11-01
287,homer,59.6425,-151.5483,10.43,81,100,0.0,US,2023-11-01
288,ambodifotatra,-16.9833,49.85,25.49,79,31,3.15,MG,2023-11-01
289,limonar,22.9505,-81.4107,25.01,69,20,4.63,CU,2023-11-01
290,zhengjiatun,43.5064,123.5064,9.68,80,69,9.59,CN,2023-11-01
291,mozhga,56.4447,52.2276,3.86,99,95,2.97,RU,2023-11-01
292,borogontsy,62.6683,131.1683,-17.42,98,100,1.59,RU,2023-11-01
293,urechesti,45.6,27.0667,9.49,69,30,1.55,RO,2023-11-01
294,valle de la pascua,9.2155,-66.0073,27.76,68,100,2.78,VE,2023-11-01
295,askoy,60.4092,5.226,4.86,100,100,3.6,NO,2023-11-01
296,zouerate,22.7187,-12.4521,27.7,21,0,4.79,MR,2023-11-01
297,wuhai,39.6647,106.8122,8.85,31,72,10.66,CN,2023-11-01
298,san luis de la loma,17.2706,-100.8939,28.17,82,62,2.23,MX,2023-11-01
299,antibes,43.5624,7.1278,17.54,77,75,4.12,FR,2023-11-01
300,souillac,-20.5167,57.5167,24.27,85,36,4.11,MU,2023-11-01
301,golfito,8.639,-83.166,24.87,92,99,1.59,CR,2023-11-01
302,katsuren-haebaru,26.3369,127.8719,22.21,88,75,4.63,JP,2023-11-01
303,bathsheba,13.2167,-59.5167,28.34,78,20,7.2,BB,2023-11-01
304,isangel,-19.55,169.2667,27.06,65,40,2.06,VU,2023-11-01
305,errachidia,31.9275,-4.4285,21.68,25,18,1.31,MA,2023-11-01
306,lompoc,34.6391,-120.4579,29.88,19,0,4.63,US,2023-11-01
307,kiunga,-6.1219,141.2906,23.48,99,100,0.99,PG,2023-11-01
308,binghamton,42.0987,-75.918,1.93,83,100,3.09,US,2023-11-01
309,nouadhibou,20.931,-17.0347,24.99,69,0,7.72,MR,2023-11-01
310,sake,-1.5736,29.045,16.91,92,93,0.63,CD,2023-11-01
311,bealanana,-14.55,48.7333,18.96,87,83,0.32,MG,2023-11-01
312,port lincoln,-34.7333,135.8667,15.0,75,94,5.76,AU,2023-11-01
313,miquelon,47.0975,-56.3814,6.0,94,100,9.39,PM,2023-11-01
314,ulysses,37.5814,-101.3552,21.53,12,0,5.14,US,2023-11-01
315,samarinda,-0.5,117.15,24.6,96,100,0.36,ID,2023-11-01
316,cabedelo,-6.9811,-34.8339,27.37,80,55,6.15,BR,2023-11-01
317,mana,5.6592,-53.7767,27.33,82,46,4.84,GF,2023-11-01
318,songadh,21.1667,73.5667,21.69,50,0,2.51,IN,2023-11-01
319,ryotsu-minato,38.0833,138.4333,18.23,82,36,3.98,JP,2023-11-01
320,bonthe,7.5264,-12.505,26.05,83,21,0.81,SL,2023-11-01
321,serenje,-13.2325,30.2352,18.2,88,99,4.46,ZM,2023-11-01
322,grand-bassam,5.2118,-3.7388,26.98,88,33,2.14,CI,2023-11-01
323,greencastle,39.6445,-86.8647,5.68,57,40,2.06,US,2023-11-01
324,westport,41.1415,-73.3579,7.08,80,0,0.89,US,2023-11-01
325,kokopo,-4.352,152.2633,28.29,71,99,0.14,PG,2023-11-01
326,grand falls-windsor,48.9332,-55.6649,1.39,88,100,0.45,CA,2023-11-01
327,codrington,-38.2667,141.9667,14.16,62,96,3.83,AU,2023-11-01
328,raduzhnyy,62.0961,77.475,-9.53,90,100,2.2,RU,2023-11-01
329,mokrous,51.2333,47.5167,9.27,82,6,5.37,RU,2023-11-01
330,deqen,29.9618,90.7188,0.43,59,30,2.02,CN,2023-11-01
331,paracuru,-3.41,-39.0306,27.28,77,4,4.98,BR,2023-11-01
332,darab,28.7519,54.5444,21.83,42,93,2.27,IR,2023-11-01
333,gillette,44.2911,-105.5022,10.59,29,68,2.68,US,2023-11-01
